Country Name,Country Code,2017,2018,2019,exp2018
Aruba,ABW,3092178771,3202234637,3368970253,21.88711473
Africa Eastern and Southern,AFE,1.02112E+12,1.00724E+12,1.00102E+12,27.63823551
Afghanistan,AFG,18896352022,18418848300,18904490263,23.63664034
Africa Western and Central,AFW,6.83748E+11,7.6636E+11,7.94719E+11,27.36491744
Angola,AGO,68972769396,77792944472,69309110146,25.07731658
Albania,ALB,13019689337,15156432310,15401830754,23.44169085
Andorra,AND,3000180750,3218316013,3155065488,21.89212408
Arab World,ARB,2.59809E+12,2.80043E+12,2.8185E+12,28.66079354
United Arab Emirates,ARE,3.90517E+11,4.27049E+11,4.1799E+11,26.78016561
Argentina,ARG,6.43629E+11,5.2482E+11,4.47755E+11,26.98632069
Armenia,ARM,11527458566,12457941907,13619291361,23.24562416
American Samoa,ASM,612000000,639000000,647000000,20.27541501
Antigua and Barbuda,ATG,1467977778,1605944444,1687533333,21.19697786
Australia,AUS,1.32652E+12,1.42829E+12,1.39223E+12,27.98749799
Austria,AUT,4.17261E+11,4.54991E+11,4.44621E+11,26.84354386
Azerbaijan,AZE,40865558912,47112941176,48174235294,24.57581356
Burundi,BDI,2712324134,2660123598,2576518846,21.70163842
Belgium,BEL,5.02765E+11,5.43299E+11,5.35831E+11,27.02092577
Benin,BEN,12701655846,14262408080,14391686309,23.38089311
Burkina Faso,BFA,14106956830,15890065020,16178162030,23.48895991
Bangladesh,BGD,2.93755E+11,3.21379E+11,3.51238E+11,26.49588702
Bulgaria,BGR,59199447421,66363537115,68915875215,24.9184136
Bahrain,BHR,35473776596,37802005319,38653318085,24.35562799
"Bahamas, The",BHS,12357600000,12755800000,13192800000,23.26925191
Bosnia and Herzegovina,BIH,18080118186,20183510863,20202479538,23.72813181
Belarus,BLR,54726595249,60031262269,64409647194,24.8181313
Belize,BLZ,2286000000,2315000000,2416500000,21.56267552
Bermuda,BMU,7142316000,7225977000,7423465000,22.70094829
Bolivia,BOL,37508642165,40287647930,40895322844,24.41931076
Brazil,BRA,2.06351E+12,1.91695E+12,1.87327E+12,28.28175494
Barbados,BRB,4981588900,5097283200,5324250000,22.35197353
Brunei Darussalam,BRN,12128104859,13567351175,13469422959,23.33093209
Bhutan,BTN,2450364928,2446866405,2535657069,21.61807402
Botswana,BWA,16105182316,17031901441,16695928793,23.55835398
Central African Republic,CAF,2072349794,2220978978,2221301401,21.52121392
Canada,CAN,1.64927E+12,1.72533E+12,1.74202E+12,28.17643898
Central Europe and the Baltics,CEB,1.46146E+12,1.64947E+12,1.67508E+12,28.13147281
Switzerland,CHE,6.95201E+11,7.25569E+11,7.21369E+11,27.31022162
Channel Islands,CHI,,,,#NUM!
Chile,CHL,2.76365E+11,2.95403E+11,2.78585E+11,26.41160518
China,CHN,1.23104E+13,1.38948E+13,1.42799E+13,30.26253705
Cote d'Ivoire,CIV,51588158718,58011466451,58539424930,24.78390653
Cameroon,CMR,36098550142,39973839065,39670977333,24.41149105
"Congo, Dem. Rep.",COD,38019265626,47568210069,51775830726,24.58543052
"Congo, Rep.",COG,11094822713,13670036996,12750339023,23.33847219
Colombia,COL,3.11884E+11,3.34198E+11,3.2311E+11,26.53500012
Comoros,COM,1077439663,1188797575,1195019559,20.89620819
Cabo Verde,CPV,1769787215,1966501118,1981845741,21.39952172
Costa Rica,CRI,60516043590,62420165100,64417670083,24.85715422
Caribbean small states,CSS,73590179850,76350610223,77428424854,25.05860186
Cuba,CUB,96851000000,1.0005E+11,1.03428E+11,25.3289359
Curacao,CUW,3009497207,3020388827,2995185475,21.82865141
Cayman Islands,CYM,5166467299,5530377535,5943589104,22.43352192
Cyprus,CYP,22946726164,25596474965,25944504646,23.96572048
Czechia,CZE,2.18629E+11,2.49001E+11,2.52548E+11,26.24072091
Germany,DEU,3.69085E+12,3.97444E+12,3.88823E+12,29.01090582
Djibouti,DJI,2762581334,2913466732,3088853639,21.79260953
Dominica,DMA,521551851.9,554770370.4,611537037,20.13406484
Denmark,DNK,3.32121E+11,3.56841E+11,3.46499E+11,26.60055675
Dominican Republic,DOM,79997975622,85555378043,88941299734,25.1724297
Algeria,DZA,1.70097E+11,1.74911E+11,1.71767E+11,25.88754242
East Asia & Pacific (excluding high income),EAP,1.48773E+13,1.66404E+13,1.72079E+13,30.44285728
Early-demographic dividend,EAR,1.12951E+13,1.14219E+13,1.16379E+13,30.06655549
East Asia & Pacific,EAS,2.43249E+13,2.64823E+13,2.70283E+13,30.90749604
Europe & Central Asia (excluding high income),ECA,3.11819E+12,3.18254E+12,3.24864E+12,28.78869957
Europe & Central Asia,ECS,2.16539E+13,2.31936E+13,2.291E+13,30.77489569
Ecuador,ECU,1.04296E+11,1.07562E+11,1.08108E+11,25.40133334
"Egypt, Arab Rep.",EGY,2.35734E+11,2.49713E+11,3.03081E+11,26.24357809
Euro area,EMU,1.26797E+13,1.36982E+13,1.34182E+13,30.24828503
Eritrea,ERI,,,,#NUM!
