statelab,statehab
USA,CAN
USA,BHM
USA,CUB
USA,CUB
USA,MEX
USA,RUS
BHM,CUB
BHM,HAI
BHM,DOM
BHM,JAM
CUB,HAI
CUB,HAI
CUB,HAI
CUB,DOM
CUB,DOM
CUB,DOM
CUB,JAM
CUB,MEX
CUB,MEX
CUB,BLZ
CUB,HON
CUB,HON
HAI,DOM
HAI,DOM
HAI,JAM
HAI,COL
HAI,COL
DOM,JAM
DOM,SKN
DOM,COL
DOM,COL
DOM,VEN
DOM,VEN
JAM,HON
JAM,NIC
JAM,COL
TRI,BAR
TRI,GRN
TRI,SLU
TRI,SVG
TRI,VEN
TRI,GUY
TRI,SUR
BAR,DMA
BAR,GRN
BAR,SLU
BAR,SVG
BAR,AAB
BAR,VEN
BAR,GUY
DMA,GRN
DMA,SLU
DMA,SVG
DMA,SKN
DMA,VEN
GRN,SVG
GRN,AAB
GRN,SKN
GRN,VEN
GRN,GUY
SLU,SVG
SLU,AAB
SLU,SKN
SLU,VEN
SLU,GUY
SVG,AAB
SVG,SKN
SVG,VEN
SVG,GUY
AAB,SKN
AAB,VEN
SKN,VEN
MEX,BLZ
MEX,GUA
MEX,HON
BLZ,GUA
BLZ,HON
GUA,HON
GUA,SAL
GUA,NIC
GUA,COS
HON,SAL
HON,NIC
SAL,NIC
SAL,COS
NIC,COS
NIC,PAN
NIC,COL
NIC,COL
COS,PAN
COS,COL
PAN,COL
COL,VEN
COL,ECU
COL,PER
COL,BRA
VEN,GUY
VEN,BRA
GUY,SUR
GUY,BRA
SUR,BRA
ECU,PER
ECU,BRA
PER,BRA
PER,BOL
PER,CHL
BRA,BOL
BRA,PAR
BRA,PAR
BRA,ARG
BRA,URU
BOL,PAR
BOL,PAR
BOL,CHL
BOL,ARG
PAR,ARG
PAR,ARG
CHL,ARG
ARG,URU
UKG,IRE
UKG,NTH
UKG,NTH
UKG,BEL
UKG,BEL
UKG,FRN
UKG,FRN
UKG,HAN
UKG,GMY
UKG,GMY
UKG,GFR
UKG,SWD
UKG,NOR
UKG,NOR
UKG,DEN
UKG,DEN
IRE,FRN
IRE,FRN
NTH,BEL
NTH,BEL
NTH,FRN
NTH,FRN
NTH,FRN
NTH,HAN
NTH,GMY
NTH,GMY
NTH,GFR
NTH,SWD
NTH,NOR
NTH,NOR
NTH,DEN
NTH,DEN
BEL,LUX
BEL,LUX
BEL,FRN
BEL,FRN
BEL,GMY
BEL,GMY
BEL,GFR
BEL,DEN
BEL,DEN
LUX,FRN
LUX,FRN
LUX,GMY
LUX,GMY
LUX,GMY
LUX,GFR
FRN,MNC
FRN,SWZ
FRN,SWZ
FRN,SPN
FRN,SPN
FRN,AND
FRN,BAV
FRN,GMY
FRN,GMY
FRN,GMY
FRN,GFR
FRN,BAD
FRN,ITA
FRN,ITA
FRN,PAP
FRN,MOD
FRN,TUS
FRN,DEN
FRN,DEN
FRN,ALG
FRN,TUN
FRN,TUN
MNC,SPN
MNC,ITA
LIE,SWZ
LIE,AUS
SWZ,BAV
SWZ,GMY
SWZ,GMY
SWZ,GFR
SWZ,BAD
SWZ,WRT
SWZ,AUH
SWZ,AUS
SWZ,AUS
SWZ,ITA
SPN,AND
SPN,POR
SPN,ITA
SPN,TUS
SPN,MAA
SPN,MOR
SPN,MOR
SPN,ALG
SPN,TUN
SPN,TUN
POR,MOR
POR,MOR
HAN,GMY
HAN,HSE
HAN,MEC
HAN,SWD
HAN,DEN
BAV,GMY
BAV,BAD
BAV,SAX
BAV,WRT
BAV,HSE
BAV,HSG
BAV,AUH
GMY,BAD
GMY,SAX
GMY,WRT
GMY,HSE
GMY,HSG
GMY,MEC
GMY,POL
GMY,POL
GMY,AUH
GMY,AUS
GMY,AUS
GMY,HUN
GMY,CZE
GMY,CZE
GMY,CZR
GMY,ITA
GMY,YUG
GMY,YUG
GMY,RUS
GMY,RUS
GMY,RUS
GMY,EST
GMY,EST
GMY,LAT
GMY,LAT
GMY,LIT
GMY,LIT
GMY,FIN
GMY,SWD
GMY,SWD
GMY,NOR
GMY,NOR
GMY,DEN
GMY,DEN
GMY,DEN
GFR,GDR
GFR,AUS
GFR,CZE
GFR,RUS
GFR,SWD
GFR,NOR
GFR,DEN
GDR,POL
GDR,CZE
GDR,RUS
GDR,SWD
GDR,DEN
BAD,WRT
BAD,HSG
BAD,AUH
SAX,AUH
WRT,AUH
HSE,HSG
MEC,RUS
MEC,SWD
MEC,DEN
POL,CZE
POL,CZE
POL,CZR
POL,SLO
POL,ROM
POL,RUS
POL,RUS
POL,EST
POL,EST
POL,LAT
POL,LAT
POL,LIT
POL,LIT
POL,UKR
POL,BLR
POL,FIN
POL,FIN
POL,SWD
POL,SWD
POL,DEN
POL,DEN
AUH,ITA
AUH,PAP
AUH,SIC
AUH,MOD
AUH,PMA
AUH,YUG
AUH,GRC
AUH,ROM
AUH,RUS
AUH,TUR
AUS,HUN
AUS,HUN
AUS,CZE
AUS,CZE
AUS,CZR
AUS,SLO
AUS,ITA
AUS,ITA
AUS,YUG
AUS,YUG
AUS,SLV
HUN,CZE
HUN,CZE
HUN,SLO
HUN,CRO
HUN,YUG
HUN,YUG
HUN,SLV
HUN,ROM
HUN,RUS
HUN,RUS
HUN,UKR
CZE,ROM
CZE,RUS
CZE,UKR
CZR,SLO
SLO,UKR
ITA,PAP
ITA,SIC
ITA,SNM
ITA,MOD
ITA,PMA
ITA,TUS
ITA,MLT
ITA,ALB
ITA,ALB
ITA,MNG
ITA,CRO
ITA,YUG
ITA,YUG
ITA,YUG
ITA,SLV
ITA,GRC
ITA,GRC
ITA,GRC
ITA,ALG
ITA,TUN
ITA,TUN
ITA,LIB
ITA,TUR
PAP,SIC
PAP,MOD
PAP,TUS
PAP,TUR
SIC,GRC
SIC,TUN
SIC,TUR
MOD,PMA
MOD,TUS
MLT,ALB
MLT,GRC
MLT,TUN
MLT,LIB
ALB,MNG
ALB,MAC
ALB,CRO
ALB,YUG
ALB,YUG
ALB,KOS
ALB,GRC
ALB,GRC
MNG,CRO
MNG,YUG
MNG,BOS
MNG,KOS
MAC,YUG
MAC,KOS
MAC,GRC
MAC,BUL
CRO,YUG
CRO,BOS
CRO,SLV
CRO,GRC
YUG,BOS
YUG,KOS
YUG,GRC
YUG,GRC
YUG,BUL
YUG,BUL
YUG,ROM
YUG,ROM
YUG,TUR
GRC,CYP
GRC,BUL
GRC,BUL
GRC,LIB
GRC,TUR
GRC,TUR
GRC,TUR
GRC,TUR
GRC,EGY
GRC,EGY
GRC,EGY
CYP,TUR
CYP,TUR
CYP,EGY
