iso_o,iso_d,distwces
ABW,ABW,23.04723
ABW,AFG,13166.37
ABW,AGO,9584.193
ABW,AIA,976.8916
ABW,ALB,9091.466
ABW,AND,7570.083
ABW,ANT,142.8583
ABW,ARE,12772.95
ABW,ARG,5157.126
ABW,ARM,11106.76
ABW,ATG,1010.383
ABW,AUS,15638.1
ABW,AUT,8631.022
ABW,AZE,11420.91
ABW,BDI,11138.61
ABW,BEL,7843.006
ABW,BEN,7915.214
ABW,BFA,7346.228
ABW,BGD,15485.5
ABW,BGR,9469.654
ABW,BHR,12296.99
ABW,BHS,1628.143
ABW,BIH,8887.931
ABW,BLR,9415.66
ABW,BLZ,2061.483
ABW,BMU,2275.413
ABW,BOL,3353.867
ABW,BRA,4272.204
ABW,BRB,1127.615
ABW,BRN,18042.71
ABW,BTN,15106.25
ABW,BWA,11177.61
ABW,CAF,9725.6
ABW,CAN,4100.323
ABW,CCK,.
ABW,CHE,8073.51
ABW,CHL,5028.641
ABW,CHN,14560.28
ABW,CIV,7192.19
ABW,CMR,8944.591
ABW,COG,9474.113
ABW,COK,10477.08
ABW,COL,861.2452
ABW,COM,12838.67
ABW,CPV,4960.571
ABW,CRI,1570.804
ABW,CUB,1417.221
ABW,CXR,.
ABW,CYM,1436.672
ABW,CYP,10398.61
ABW,CZE,8636.67
ABW,DEU,8228.115
ABW,DJI,12175.08
ABW,DMA,984.0394
ABW,DNK,8331.029
ABW,DOM,695.8729
ABW,DZA,7701.793
ABW,ECU,1863.844
ABW,EGY,10361.41
ABW,ERI,11666.29
ABW,ESH,6081.951
ABW,ESP,7171.044
ABW,EST,9140.022
ABW,ETH,11799.45
ABW,FIN,9055.602
ABW,FJI,12717.95
ABW,FLK,7244.386
ABW,FRA,7711.83
ABW,FRO,7410.994
ABW,FSM,14760.92
ABW,GAB,8927.159
ABW,GBR,7479.964
ABW,GEO,10963.97
ABW,GHA,7619.561
ABW,GIB,6930.323
ABW,GIN,6242.909
ABW,GLP,999.3907
ABW,GMB,5804.388
ABW,GNB,5916.901
ABW,GNQ,8799.838
ABW,GRC,9456.786
ABW,GRD,902.008
ABW,GRL,6151.556
ABW,GTM,2251.409
ABW,GUF,2057.799
ABW,GUY,1462.419
ABW,HKG,16132.21
ABW,HND,1918.602
ABW,HRV,8739.732
ABW,HTI,739.216
ABW,HUN,8939.646
ABW,IDN,19043.14
ABW,IND,14736.86
ABW,IRL,7122.626
ABW,IRN,11930.09
ABW,IRQ,11440.46
ABW,ISL,6856.186
ABW,ISR,10642.38
ABW,ITA,8422.343
ABW,JAM,976.2388
ABW,JOR,10735.06
ABW,JPN,13937.19
ABW,KAZ,12246.68
ABW,KEN,11899.2
ABW,KGZ,12930.75
ABW,KHM,17254.57
ABW,KIR,12752.67
ABW,KNA,976.5087
ABW,KOR,14259.24
ABW,KWT,11920.18
ABW,LAO,16570.5
ABW,LBN,10634.88
ABW,LBR,6571.486
ABW,LBY,8887.955
ABW,LCA,989.2026
ABW,LKA,16049.18
ABW,LSO,11425.77
ABW,LTU,9121.059
ABW,LUX,7957.678
ABW,LVA,9110.4
ABW,MAC,.
ABW,MAR,6773.627
ABW,MDA,9653.259
ABW,MDG,13326.89
ABW,MDV,15590.73
ABW,MEX,3433.252
ABW,MHL,13032.87
ABW,MKD,9217.654
ABW,MLI,6792.552
ABW,MLT,8711.655
ABW,MMR,16299.34
ABW,MNG,13298.9
ABW,MNP,15045.59
ABW,MOZ,12044.73
ABW,MRT,5923.608
ABW,MSR,.
ABW,MTQ,998.5741
ABW,MUS,14382.69
ABW,MWI,11884.64
ABW,MYS,18040.25
ABW,NAM,10235.29
ABW,NCL,13993.97
ABW,NER,8078.543
ABW,NFK,13783.78
ABW,NGA,8269.742
ABW,NIC,1761.101
ABW,NIU,11492.94
ABW,NLD,7908.11
ABW,NOR,8238.265
ABW,NPL,14804.43
ABW,NRU,13620.22
ABW,NZL,13079.11
ABW,OMN,13071.03
ABW,PAK,13747.85
ABW,PAL,10642.06
ABW,PAN,1171.276
ABW,PCN,.
ABW,PER,2724.569
ABW,PHL,16866.91
ABW,PLW,16541.35
ABW,PNG,15927.29
ABW,POL,8882.148
ABW,PRI,763.2674
ABW,PRK,13995.25
ABW,PRT,6621.537
ABW,PRY,4435.109
ABW,PYF,9363.463
ABW,QAT,12418.47
ABW,REU,14168.5
ABW,ROM,9445.321
ABW,RUS,10451.28
ABW,RWA,11138.53
ABW,SAU,11720.17
ABW,SDN,10927.77
ABW,SEN,5731.908
ABW,SGP,18355.23
ABW,SHN,7463.466
ABW,SLB,14592.63
ABW,SLE,6280.437
ABW,SLV,2080.956
ABW,SMR,8454.992
ABW,SOM,12606.07
ABW,SPM,4035.514
ABW,STP,8558.038
ABW,SUR,1787.663
ABW,SVK,8900.629
ABW,SVN,8617.65
ABW,SWE,8585.174
ABW,SWZ,11750.78
ABW,SYC,13976.95
ABW,SYR,10723.18
ABW,TCA,1011.168
ABW,TCD,9338.212
ABW,TGO,7804.8
ABW,THA,16930.5
ABW,TJK,12918.61
ABW,TKL,11479.27
ABW,TKM,12260.79
ABW,TMP,18274.89
ABW,TON,12051.76
ABW,TTO,960.3906
ABW,TUN,8333.936
ABW,TUR,10114.12
ABW,TUV,12533.02
ABW,TWN,15770.9
ABW,TZA,11976.29
ABW,UGA,11346.17
ABW,UKR,9901.715
ABW,URY,5389.013
ABW,USA,3648.866
ABW,UZB,12709.94
ABW,VCT,953.5273
ABW,VEN,380.6062
ABW,VGB,879.4416
ABW,VNM,17024.94
ABW,VUT,13796.35
ABW,WLF,12055.93
ABW,WSM,11605.03
ABW,YEM,12204.19
ABW,YUG,9097.134
ABW,ZAF,11313.81
ABW,ZAR,10103.9
ABW,ZMB,11235.77
ABW,ZWE,11526.7
AFG,ABW,13166.37
AFG,AFG,90.26415
AFG,AGO,7563.814
AFG,AIA,12203.41
AFG,ALB,4243.15
AFG,AND,5707.326
AFG,ANT,12995.19
AFG,ARE,1628.898
AFG,ARG,15333.28
AFG,ARM,2155.121
AFG,ATG,12212.2
AFG,AUS,11020.75
AFG,AUT,4557.809
AFG,AZE,1796.368
AFG,BDI,5842.157
AFG,BEL,5326.837
AFG,BEN,7323.327
AFG,BFA,7456.056
AFG,BGD,2472.729
AFG,BGR,3805.977
AFG,BHR,1917.157
AFG,BHS,12425.32
AFG,BIH,4367.222
AFG,BLR,3755.023
AFG,BLZ,13713.03
AFG,BMU,11087.73
AFG,BOL,15096.34
AFG,BRA,13180.02
AFG,BRB,12369
AFG,BRN,5818.072
AFG,BTN,2215.839
AFG,BWA,7838.708
AFG,CAF,6071.67
AFG,CAN,10508.32
AFG,CCK,.
AFG,CHE,5129.578
AFG,CHL,16257.02
AFG,CHN,4369.993
AFG,CIV,8061.536
AFG,CMR,6608.679
AFG,COG,7100.183
AFG,COK,15110.15
AFG,COL,14065.93
AFG,COM,5796.583
AFG,CPV,9221.142
AFG,CRI,14258.97
AFG,CUB,12857.48
AFG,CXR,.
AFG,CYM,13207.38
AFG,CYP,3159.984
AFG,CZE,4534.28
AFG,DEU,4934.421
AFG,DJI,3610.346
AFG,DMA,12316.78
AFG,DNK,4848.241
AFG,DOM,12621.42
AFG,DZA,5759.415
AFG,ECU,15030.78
AFG,EGY,3496.898
AFG,ERI,3613.636
AFG,ESH,7651.803
AFG,ESP,6123.391
AFG,EST,4105.796
AFG,ETH,4098.691
AFG,FIN,4236.522
AFG,FJI,12938.15
AFG,FLK,15382.7
AFG,FRA,5489.888
AFG,FRO,5885.45
AFG,FSM,9032.83
AFG,GAB,7160.384
AFG,GBR,5689.184
AFG,GEO,2252.767
AFG,GHA,7678.898
AFG,GIB,6495.016
AFG,GIN,8565.666
AFG,GLP,12259.49
AFG,GMB,8674.604
AFG,GNB,8690.772
AFG,GNQ,7018.456
AFG,GRC,3972.516
AFG,GRD,12603.69
AFG,GRL,7644.299
AFG,GTM,14093
AFG,GUF,12444.92
AFG,GUY,12763.45
AFG,HKG,4649.385
AFG,HND,13926.54
AFG,HRV,4493.198
AFG,HTI,12767.79
AFG,HUN,4257.653
AFG,IDN,6048.273
AFG,IND,1578.108
AFG,IRL,6047.218
AFG,IRN,1428.416
AFG,IRQ,2149.577
AFG,ISL,6560.94
AFG,ISR,3084.393
AFG,ITA,4866.3
AFG,JAM,13095.92
AFG,JOR,2995.34
AFG,JPN,6154.539
AFG,KAZ,1484.992
AFG,KEN,5158.486
AFG,KGZ,946.0744
AFG,KHM,4461.521
AFG,KIR,11374.88
AFG,KNA,10442.59
AFG,KOR,5266.729
AFG,KWT,1978.614
AFG,LAO,3954.113
AFG,LBN,2979.235
AFG,LBR,8564.505
AFG,LBY,4781.018
AFG,LCA,12401.91
AFG,LKA,3268.078
AFG,LSO,8306.389
AFG,LTU,4060.415
AFG,LUX,5219.947
AFG,LVA,4091.314
AFG,MAC,.
AFG,MAR,6724.652
AFG,MDA,3536.63
AFG,MDG,6369.428
AFG,MDV,3485.445
AFG,MEX,13572.4
AFG,MHL,10587.69
AFG,MKD,4097.169
AFG,MLI,7845.175
AFG,MLT,4811.928
AFG,MMR,3318.589
AFG,MNG,3382.218
AFG,MNP,7933.194
AFG,MOZ,7065.662
AFG,MRT,8248.42
AFG,MSR,.
AFG,MTQ,12351.96
AFG,MUS,6221.729
AFG,MWI,6526.348
AFG,MYS,5044.965
AFG,NAM,8291.074
AFG,NCL,12083.99
AFG,NER,6666.799
AFG,NFK,12635.15
AFG,NGA,6982.495
AFG,NIC,14134.68
AFG,NIU,14089.52
AFG,NLD,5259.089
AFG,NOR,5011.493
AFG,NPL,1735.908
AFG,NRU,10844.42
AFG,NZL,13644.59
AFG,OMN,1634.81
AFG,PAK,665.7519
AFG,PAL,3109.531
AFG,PAN,14139.63
AFG,PCN,.
AFG,PER,15595.24
AFG,PHL,5844.131
AFG,PLW,7385.768
AFG,PNG,9483.264
AFG,POL,4281.976
AFG,PRI,12408.96
AFG,PRK,5104.988
AFG,PRT,6684.135
AFG,PRY,14707.61
AFG,PYF,15824.03
AFG,QAT,1903.662
AFG,REU,6355.59
AFG,ROM,3768.174
AFG,RUS,2957.415
AFG,RWA,5707.946
AFG,SAU,2603.316
AFG,SDN,4197.705
AFG,SEN,8654.799
AFG,SGP,5243.381
AFG,SHN,9859.888
AFG,SLB,10737.52
AFG,SLE,8639.216
AFG,SLV,14127.75
AFG,SMR,4807.225
AFG,SOM,4180.246
AFG,SPM,9387.363
AFG,STP,7419.235
AFG,SUR,12331.63
AFG,SVK,4280.033
AFG,SVN,4601.331
AFG,SWE,4636.476
AFG,SWZ,7833.208
AFG,SYC,4581.557
AFG,SYR,2812.357
AFG,TCA,12443.44
AFG,TCD,5842.391
AFG,TGO,7457.437
AFG,THA,3999.327
AFG,TJK,424.7298
AFG,TKL,13354.43
AFG,TKM,852.6098
AFG,TMP,7729.447
AFG,TON,13713.83
AFG,TTO,12718.81
AFG,TUN,5176.618
AFG,TUR,3197.643
AFG,TUV,12361.76
AFG,TWN,5182.341
AFG,TZA,5603.674
AFG,UGA,5297.47
AFG,UKR,3241.369
AFG,URY,14997.55
AFG,USA,11576.6
AFG,UZB,668.1815
AFG,VCT,12485.54
AFG,VEN,13216.76
AFG,VGB,12287.68
AFG,VNM,4474.747
AFG,VUT,11957.74
AFG,WLF,13184.7
AFG,WSM,13610.21
AFG,YEM,3265.185
AFG,YUG,4160.492
AFG,ZAF,8308.033
AFG,ZAR,6701.34
AFG,ZMB,6871.454
AFG,ZWE,7154.211
AGO,ABW,9584.193
